       x_coord        y_coord           Rho           Rho_Ref      %     Depth    Temp    Temp_Ref    Rho_cT     Rho_ref_cT  %_cT
      45.050677     2934.654497      286.290560      304.093210  -5.9 10.446 10.648 10.810      233.670331         249.432  -6.3
      32.628753     2932.296457      670.108270      601.933480  11.3 17.904 16.122 16.702      638.649961         582.398   9.7
      62.212123     2932.119427      467.733750      509.035940  -8.1 7.981 8.839 8.863      360.607974         392.755  -8.2
      26.450480     2945.236563      809.606160      840.807740  -3.7 8.263 9.046 9.086      628.383117         653.436  -3.8
       3.055707     2949.385143     2070.837740     2031.549090   1.9 15.515 14.369 14.815     1882.852280         1869.77   0.7
      42.217100     2932.190977      380.084190      375.865920   1.1 13.909 13.190 13.546      334.381148         334.014   0.1
      48.822927     2933.783597      331.277910      364.363170  -9.1 9.816 10.186 10.313      266.564737         294.341  -9.4
       2.450733     2955.869123     2823.199230     2891.615090  -2.4 9.031 9.610 9.692     2231.009275         2291.05  -2.6
      14.544007     2940.167377     1497.710900     1474.916390   1.5 19.133 17.024 17.673     1461.179475         1462.85  -0.1
      54.631210     2932.970147      462.346410      477.475730  -3.2 9.130 9.682 9.771      366.205057         379.242  -3.4
      49.778270     2935.802087      350.312080      388.277000  -9.8 7.798 8.705 8.718      268.905390         298.181  -9.8
       5.252543     2955.654540     2744.701110     2724.504330   0.7 8.445 9.180 9.230     2139.492149         2127.15   0.6
       6.381113     2955.066860     2635.106960     2568.288910   2.6 8.233 9.024 9.062     2043.797042         1994.42   2.5
      20.177020     2945.944563     1509.469960     1501.365770   0.5 10.655 10.802 10.976     1237.844148         1237.72   0.0
      40.543327     2938.455863      409.026550      372.943020   9.7 8.244 9.032 9.071      317.324784         289.692   9.5
      59.554510     2932.939967      421.045090      463.438740  -9.1 7.660 8.603 8.609      322.135942          354.64  -9.2
       5.240143     2948.944323     2080.198100     2025.115890   2.7 15.156 14.105 14.531     1877.652448         1849.49   1.5
      31.338573     2931.861600      737.858950      666.560020  10.7 19.238 17.102 17.756      721.293644           662.5   8.9
      43.555290     2933.854253      323.523970      330.502460  -2.1 11.646 11.529 11.758      271.185676         278.929  -2.8
       0.676630     2949.933250     2101.845120     2076.996260   1.2 18.167 16.315 16.910     2013.325337         2020.38  -0.3
      25.313500     2945.911507      904.637760      929.315740  -2.7 8.388 9.138 9.185      704.218702         724.516  -2.8
      11.946630     2945.643243     1965.810950     1929.399580   1.9 14.357 13.519 13.900     1745.583864         1731.63   0.8
      22.894647     2936.001457     1050.242370     1012.320660   3.7 18.999 16.926 17.567     1022.041395         1001.36   2.1
      42.188537     2934.578793      339.275980      331.431440   2.4 11.521 11.438 11.660      283.614045         278.897   1.7
      11.508157     2951.118740     2288.467680     2207.592990   3.7 9.581 10.014 10.127     1831.554644         1773.09   3.3
      49.740693     2933.546573      377.013060      406.905830  -7.3 10.053 10.360 10.500      305.005568         330.613  -7.7
      19.157473     2949.346583     1760.931990     1782.562490  -1.2 7.953 8.819 8.841     1356.745529         1374.41  -1.3
       4.184283     2948.489583     2032.321700     1987.529630   2.3 15.610 14.439 14.890     1851.396357         1833.01   1.0
      52.572237     2935.156597      559.759640      551.182420   1.6 7.843 8.738 8.754      430.148081         423.781   1.5
      20.467190     2940.174507     1264.531730     1251.268540   1.1 16.425 15.037 15.534     1170.871255         1174.13  -0.3
       4.261000     2950.860983     2183.478650     2133.490090   2.3 13.239 12.698 13.017     1894.082271          1867.7   1.4
      23.795007     2935.444570      987.992750      944.727910   4.6 19.555 17.335 18.007      971.559459         944.888   2.8
      11.717420     2941.352490     1625.651130     1601.246990   1.5 18.648 16.668 17.290     1571.527787         1572.81  -0.1
      33.147823     2939.823163      515.677960      486.815600   5.9 9.677 10.084 10.203      413.622656         391.919   5.5
      31.354613     2938.217920      592.753520      554.804330   6.8 12.882 12.436 12.735      510.308071         481.776   5.9
      28.040830     2942.152987      706.932840      726.923450  -2.8 10.647 10.796 10.969      579.612555         599.151  -3.3
      81.864820     2931.195947     1068.570210     1009.982690   5.8 7.704 8.636 8.644      818.411867         773.753   5.8
       1.880697     2943.716987     1748.577100     1732.435540   0.9 22.883 19.777 20.636     1826.263090         1846.58  -1.1
      34.801530     2940.722730      503.996750      469.483630   7.4 7.977 8.836 8.860      388.535054         362.207   7.3
      24.668980     2940.396073      950.870600      953.703710  -0.3 13.904 13.186 13.542      836.444690         847.416  -1.3
      16.933700     2949.817043     2090.766240     2108.261600  -0.8 8.283 9.061 9.102     1623.515953         1639.25  -1.0
      19.496580     2940.717693     1357.672890     1342.935350   1.1 15.882 14.639 15.105     1243.581135         1245.74  -0.2
      49.617953     2931.605663      398.639920      428.374680  -6.9 11.994 11.785 12.034      336.699646         364.477  -7.6
      22.955493     2946.123777     1190.993020     1184.192290   0.6 8.876 9.496 9.570      937.792241          934.63   0.3
       2.213267     2953.930440     2455.620700     2458.394890  -0.1 12.670 12.280 12.567     2104.494779         2124.48  -0.9
      12.814050     2944.792317     1878.913820     1850.482530   1.5 15.208 14.143 14.572     1697.759994          1691.9   0.3
       1.818560     2949.041167     2044.536370     2013.351190   1.5 17.559 15.869 16.429     1935.622815          1934.3   0.1
       2.380933     2933.491720     1363.383020     1354.716090   0.6 31.408 26.035 27.371     1637.241252         1672.08  -2.1
      23.662123     2945.799077     1100.450930     1103.359980  -0.3 9.201 9.734 9.827      873.055823         877.908  -0.6
       6.885087     2940.379620     1580.363780     1560.578610   1.3 22.920 19.805 20.665     1651.659989         1664.56  -0.8
      38.813030     2935.471473      416.221520      374.618560  11.1 11.829 11.663 11.903      350.283033         317.513  10.3
      44.730990     2933.931540      310.604040      323.995090  -4.1 11.168 11.179 11.381      257.635542         270.383  -4.7
       9.834870     2953.121130     2358.071040     2253.337260   4.6 8.379 9.131 9.177     1835.232954         1756.32   4.5
      13.804190     2939.365660     1460.194720     1436.422050   1.7 19.934 17.613 18.306     1446.060017         1447.42  -0.1
       3.997027     2956.211497     2922.451640     2983.468850  -2.0 7.889 8.771 8.790     2248.180639         2296.52  -2.1
      29.053620     2939.067380      692.565640      676.490160   2.4 12.833 12.400 12.696      595.608865         586.784   1.5
      53.180210     2934.636087      532.642990      525.187400   1.4 7.864 8.753 8.770      409.510718         404.007   1.4
       8.122670     2948.545867     2115.207470     2047.330710   3.3 14.054 13.297 13.661     1866.497665         1825.23   2.3
       1.652173     2952.906077     2359.491010     2349.424780   0.4 13.694 13.032 13.376     2066.462035         2077.84  -0.5
       3.671990     2956.913580     3141.710080     3249.831250  -3.3 7.986 8.843 8.867     2422.496481         2507.84  -3.4
      14.654987     2945.678670     1892.250410     1875.638140   0.9 13.021 12.539 12.845     1633.894485         1633.91  -0.0
      20.714810     2947.258257     1485.443320     1470.082810   1.0 9.342 9.838 9.938     1182.332564         1173.79   0.7
      10.307007     2947.606543     2118.865210     2060.168680   2.8 13.093 12.592 12.902     1832.373099         1797.59   1.9
      19.282100     2931.954950     1100.807660     1050.779810   4.8 24.645 21.070 22.028     1185.307281         1156.58   2.5
       8.450263     2931.566057     1274.478810     1251.691620   1.8 31.034 25.760 27.075     1521.724658         1535.66  -0.9
       5.894730     2951.820407     2269.820330     2198.047220   3.3 11.480 11.407 11.627     1895.698235         1847.84   2.6
      26.870520     2940.337503      809.030050      809.905240  -0.1 13.162 12.642 12.956      700.665912         707.784  -1.0
       1.781477     2955.514157     2723.782380     2774.603060  -1.8 11.086 11.118 11.316     2255.156029         2310.95  -2.4
      50.221723     2932.424403      397.473500      425.999290  -6.7 10.976 11.037 11.229      328.284145         353.885  -7.2
       3.332893     2943.147687     1723.969860     1703.782260   1.2 21.752 18.947 19.742     1764.793092          1778.0  -0.7
      23.652400     2933.705813      988.234360      935.993170   5.6 21.294 18.611 19.380     1003.327824         968.294   3.6
       1.937497     2935.156407     1419.187380     1412.778310   0.5 31.444 26.061 27.398     1705.174482         1744.73  -2.3
       9.064187     2941.974957     1673.440470     1647.314790   1.6 19.525 17.312 17.983     1644.673020         1646.61  -0.1
      34.262450     2939.833723      501.076010      463.750100   8.0 9.666 10.076 10.194      401.813410         373.253   7.7
      32.514393     2937.495963      575.853550      529.621190   8.7 12.704 12.306 12.594      493.877332         458.045   7.8
      21.534390     2946.910843     1410.687930     1391.491800   1.4 8.889 9.506 9.580     1111.115607          1098.6   1.1
       6.578230     2942.926553     1722.094560     1695.072350   1.6 20.373 17.935 18.653     1719.300619         1722.75  -0.2
      32.653117     2939.116037      534.901370      501.658440   6.6 11.084 11.117 11.314      442.853216          417.81   6.0
      37.534220     2938.532837      452.823530      394.039050  14.9 9.567 10.003 10.116      362.296130         316.375  14.5
      11.349130     2940.188240     1545.306400     1522.048760   1.5 20.512 18.037 18.762     1546.721344         1551.05  -0.3
       6.745157     2947.201550     1993.907040     1941.653590   2.7 16.098 14.797 15.276     1834.257772         1809.42   1.4
      66.542870     2931.360273      532.544270      527.795150   0.9 7.840 8.735 8.751      409.198462         405.761   0.8
      14.066093     2950.845350     2293.589820     2249.629100   2.0 8.455 9.187 9.237     1788.238070          1756.8   1.8
       4.025223     2947.357417     1953.009000     1914.754190   2.0 16.743 15.270 15.785     1819.718636         1808.71   0.6
      25.097453     2939.595593      922.817730      915.861060   0.8 14.704 13.774 14.174      825.322734          828.27  -0.4
      27.732757     2944.119220      696.024810      723.000340  -3.7 8.681 9.353 9.416      545.556258         567.841  -3.9
       8.078850     2952.304853     2325.292250     2226.552890   4.4 10.295 10.538 10.691     1891.487756         1819.72   3.9
      48.536873     2934.764070      302.481270      338.246360 -10.6 8.836 9.467 9.538      237.951204         266.694 -10.8
      18.527813     2945.868070     1670.159180     1665.985240   0.3 11.432 11.372 11.589     1393.415201         1398.98  -0.4
      57.252390     2933.166343      410.460140      436.627980  -6.0 8.434 9.171 9.221      319.864423         340.795  -6.1
       2.131497     2951.199920     2202.563040     2172.416210   1.4 15.400 14.285 14.724     1997.980957          1994.5   0.2
       7.690650     2933.050897     1329.432850     1310.707630   1.4 29.549 24.670 25.902     1551.116858         1569.63  -1.2
      21.496347     2940.811473     1210.664340     1203.059500   0.6 14.989 13.983 14.399     1089.070486         1094.75  -0.5
      34.716930     2939.149767      498.772240      449.128220  11.1 9.550 9.991 10.103      398.903932         360.456  10.7
       0.063373     2951.816453     2285.778390     2271.694900   0.6 16.284 14.933 15.422     2110.523100         2125.28  -0.7
      37.196627     2940.156897      494.969260      434.479950  13.9 7.943 8.811 8.833      381.265366         334.909  13.8
      12.134300     2949.883807     2243.751580     2186.240650   2.6 10.116 10.406 10.550     1817.791229         1779.04   2.2
      33.002637     2942.212633      514.201940      525.510520  -2.2 7.987 8.844 8.868      396.497583         405.537  -2.2
      20.821053     2948.052407     1495.551210     1478.545480   1.2 7.748 8.668 8.679     1146.629078         1133.99   1.1
