       x_coord        y_coord           Rho           Rho_Ref      %     Depth    Temp    Temp_Ref    Rho_cT     Rho_ref_cT  %_cT
       0.676630     2949.933250     2091.505540     2076.996260   0.7 18.167 15.061 16.910     1937.852176         2020.38  -4.1
      25.313500     2945.911507      843.221890      929.315740  -9.3 8.388 8.647 9.185      646.052360         724.516 -10.8
      11.946630     2945.643243     2054.601340     1929.399580   6.5 14.357 12.562 13.900     1775.279740         1731.63   2.5
      22.894647     2936.001457     1073.289290     1012.320660   6.0 18.999 15.607 17.567     1009.080798         1001.36   0.8
      42.188537     2934.578793      329.464240      331.431440  -0.6 11.521 10.702 11.660      269.352735         278.897  -3.4
      11.508157     2951.118740     2183.940050     2207.592990  -1.1 9.581 9.429 10.127     1715.992898         1773.09  -3.2
      49.740693     2933.546573      385.934240      406.905830  -5.2 10.053 9.739 10.500      306.229608         330.613  -7.4
      19.157473     2949.346583     1758.642910     1782.562490  -1.3 7.953 8.361 8.841     1334.873253         1374.41  -2.9
       4.184283     2948.489583     2149.849020     1987.529630   8.2 15.610 13.384 14.890     1901.779490         1833.01   3.8
      52.572237     2935.156597      574.258130      551.182420   4.2 7.843 8.289 8.754      434.846499         423.781   2.6
      20.467190     2940.174507     1261.798640     1251.268540   0.8 16.425 13.919 15.534     1133.067382         1174.13  -3.5
       4.261000     2950.860983     2283.591440     2133.490090   7.0 13.239 11.829 13.017     1931.278451          1867.7   3.4
      23.795007     2935.444570     1011.859280      944.727910   7.1 19.555 15.972 18.007      960.567026         944.888   1.7
      11.717420     2941.352490     1746.414610     1601.246990   9.1 18.648 15.377 17.290     1631.883038         1572.81   3.8
      33.147823     2939.823163      545.930340      486.815600  12.1 9.677 9.492 10.203      429.810989         391.919   9.7
      31.354613     2938.217920      611.610650      554.804330  10.2 12.882 11.595 12.735      513.671004         481.776   6.6
      28.040830     2942.152987      637.336170      726.923450 -12.3 10.647 10.128 10.969      511.915389         599.151 -14.6
      81.864820     2931.195947     1051.048440     1009.982690   4.1 7.704 8.198 8.644      793.485266         773.753   2.6
