602
203	14	43	25	32	4.941583e+00
204	14	46	26	34	4.739580e+00
205	14	49	27	36	4.378125e+00
206	14	52	28	38	4.647568e+00
207	15	18	16	17	3.208060e+02
208	15	21	17	19	9.700880e+01
209	15	24	18	21	5.110098e+01
210	15	27	19	23	2.896702e+01
212	15	29	21	27	5.971406e+01
215	15	38	24	29	5.897358e+00
216	15	41	25	31	4.807335e+00
217	15	44	26	33	4.833987e+00
218	15	47	27	35	4.437275e+00
219	15	50	28	37	4.605375e+00
220	16	19	17	18	2.672498e+02
221	16	22	18	20	1.018600e+02
222	16	25	19	22	4.624996e+01
223	16	28	20	24	2.659687e+01
225	16	30	22	28	6.188302e+01
228	16	39	25	30	4.886422e+00
229	16	42	26	32	4.864080e+00
230	16	45	27	34	4.614113e+00
231	16	48	28	36	4.365944e+00
233	17	20	18	19	3.438248e+02
234	17	23	19	21	9.946366e+01
235	17	26	20	23	5.152301e+01
240	17	37	25	29	5.412420e+00
241	17	40	26	31	4.931382e+00
242	17	43	27	33	4.503652e+00
246	18	21	19	20	3.507664e+02
247	18	24	20	22	1.177889e+02
248	18	27	21	24	4.787638e+01
250	18	29	23	28	1.514493e+02
255	18	44	28	34	4.703228e+00
258	19	22	20	21	2.991557e+02
259	19	25	21	23	1.226746e+02
260	19	28	22	25	4.570969e+01
264	19	36	26	29	6.099934e+00
265	19	39	27	31	4.577050e+00
266	19	42	28	33	4.628003e+00
270	20	23	21	22	3.366292e+02
271	20	26	22	24	1.027102e+02
276	20	37	27	30	4.982079e+00
277	20	40	28	32	4.556959e+00
282	21	24	22	23	4.475543e+02
283	21	27	23	25	9.389692e+01
288	21	38	28	31	4.429613e+00
293	22	25	23	24	2.850298e+02
294	22	28	24	26	1.035384e+02
298	22	36	28	30	5.409670e+00
303	22	51	29	40	9.060929e+00
304	23	26	24	25	4.616795e+02
308	23	34	28	29	5.139956e+00
313	23	49	29	39	1.077444e+01
314	23	52	30	41	9.475290e+00
315	24	27	25	26	2.990824e+02
323	24	47	29	38	1.276796e+01
324	24	50	30	40	1.078453e+01
325	25	28	26	27	3.200930e+02
332	25	45	29	37	1.735846e+01
333	25	48	30	39	1.374864e+01
334	25	51	31	41	1.105686e+01
341	26	43	29	36	2.482363e+01
342	26	46	30	38	1.799864e+01
343	26	49	31	40	1.340232e+01
344	26	52	32	42	1.038416e+01
350	27	41	29	35	5.335375e+01
351	27	44	30	37	3.023132e+01
352	27	47	31	39	1.967581e+01
353	27	50	32	41	1.332123e+01
358	28	39	29	34	1.444896e+02
359	28	42	30	36	5.661934e+01
360	28	45	31	38	3.180091e+01
361	28	48	32	40	1.860570e+01
362	28	51	33	42	1.254447e+01
396	29	32	30	31	2.508702e+02
397	29	35	31	33	9.675220e+01
399	29	41	33	37	1.821287e+01
400	29	44	34	39	1.389710e+01
401	29	47	35	41	1.156868e+01
402	29	50	36	43	9.869776e+00
403	30	33	31	32	2.376019e+02
404	30	36	32	34	9.756131e+01
405	30	39	33	36	2.663630e+01
406	30	42	34	38	1.869258e+01
407	30	45	35	40	1.473718e+01
408	30	48	36	42	1.180260e+01
409	30	51	37	44	8.493834e+00
410	31	34	32	33	2.463074e+02
411	31	37	33	35	6.897083e+01
412	31	40	34	37	2.956418e+01
413	31	43	35	39	2.045364e+01
414	31	46	36	41	1.490001e+01
415	31	49	37	43	1.058791e+01
416	31	52	38	45	8.381931e+00
417	32	35	33	34	2.478806e+02
418	32	38	34	36	5.923557e+01
419	32	41	35	38	3.539780e+01
420	32	44	36	40	2.265932e+01
421	32	47	37	42	1.371970e+01
422	32	50	38	44	9.382670e+00
423	33	36	34	35	2.082501e+02
424	33	39	35	37	7.068184e+01
425	33	42	36	39	3.699663e+01
426	33	45	37	41	1.880864e+01
427	33	48	38	43	1.222843e+01
428	33	51	39	45	9.015266e+00
429	34	37	35	36	2.394772e+02
430	34	40	36	38	7.421613e+01
431	34	43	37	40	2.934910e+01
432	34	46	38	42	1.595461e+01
433	34	49	39	44	1.062875e+01
434	34	52	40	46	9.408982e+00
435	35	38	36	37	2.513235e+02
436	35	41	37	39	5.387235e+01
438	35	47	39	43	1.458879e+01
439	35	50	40	45	1.163443e+01
440	36	39	37	38	1.345238e+02
441	36	42	38	40	4.005476e+01
442	36	45	39	42	2.001853e+01
443	36	48	40	44	1.373982e+01
444	36	51	41	46	1.130484e+01
445	37	40	38	39	1.423034e+02
446	37	43	39	41	3.381343e+01
447	37	46	40	43	2.129487e+01
448	37	49	41	45	1.580926e+01
449	37	52	42	47	1.238174e+01
450	38	41	39	40	6.503240e+01
451	38	44	40	42	3.567870e+01
452	38	47	41	44	1.938029e+01
453	38	50	42	46	1.551913e+01
454	39	42	40	41	6.154707e+01
455	39	45	41	43	3.231066e+01
456	39	48	42	45	2.076995e+01
457	39	51	43	47	1.531977e+01
458	40	43	41	42	6.439219e+01
459	40	46	42	44	2.641899e+01
460	40	49	43	46	2.024987e+01
461	40	52	44	48	1.809620e+01
462	41	44	42	43	7.723533e+01
463	41	47	43	45	3.097589e+01
464	41	50	44	47	2.355918e+01
465	42	45	43	44	5.085988e+01
466	42	48	44	46	3.749284e+01
467	42	51	45	48	2.354781e+01
468	43	46	44	45	7.624134e+01
469	43	49	45	47	3.316077e+01
470	43	52	46	49	2.396764e+01
471	44	47	45	46	6.108232e+01
472	44	50	46	48	3.350903e+01
473	45	48	46	47	6.916137e+01
474	45	51	47	49	3.503280e+01
475	46	49	47	48	8.038344e+01
476	46	52	48	50	4.221929e+01
477	47	50	48	49	8.004102e+01
