    P+   P-        C+   C-  Normalised_Error  Observed_Rho_a  Calculated_Rho_a  Original_Weight  Final_Weight    C
   15   27        19   23        1.11256           38.25791       60.97930         0.68488E+01    0.41356E+01    1
   15   29        21   27       -0.07601          220.47356      219.93601         0.64071E+01    0.64071E+01    0
   15   38        24   29       -0.56186           44.88359       29.97945         0.99054E+01    0.99054E+01    0
   15   41        25   31        0.12212            5.84666       12.95958         0.47832E+01    0.47832E+01    0
   15   50        28   37        0.70901          -21.19758       -6.29978         0.15738E+02    0.15738E+02    0
   16   19        17   18        0.06972          671.70129      672.36896         0.21927E+01    0.21927E+01    0
   16   25        19   22       -0.00755          133.44425      133.43088         0.35488E+02    0.35488E+02    0
   16   28        20   24        1.05223           32.08119       40.79743         0.25327E+02    0.10177E+02    1
   16   30        22   28       -0.80601          121.09844      119.90548         0.30214E+02    0.30214E+02    0
   16   39        25   30        0.00954           10.66869       10.87864         0.11988E+02    0.11988E+02    0
   16   45        27   34        0.44092           -5.97269        1.85009         0.16763E+02    0.16763E+02    0
   16   48        28   36       -0.37089           -6.07958       -7.85756         0.65329E+02    0.65329E+02    0
   17   20        18   19       -0.35032          851.19416      844.04583         0.11020E+01    0.11020E+01    0
   17   23        19   21        0.12733          429.40457      431.85685         0.22308E+01    0.22308E+01    0
   17   26        20   23        1.38380          188.45824      237.17517         0.71467E+01    0.18297E+01    1
   17   37        25   29        0.18065            1.99246       14.31591         0.36480E+01    0.36480E+01    0
   18   21        19   20        0.02197          982.82859      983.07632         0.19485E+01    0.18780E+01    1
   18   24        20   22       -0.17870          548.64662      547.82206         0.92632E+01    0.92632E+01    0
   19   22        20   21        0.19518          792.19214      794.33891         0.20595E+01    0.20595E+01    0
   19   25        21   23       -0.26451          342.38328      341.40002         0.11581E+02    0.11581E+02    0
   19   28        22   25       -0.40091           76.81336       75.77229         0.25177E+02    0.25177E+02    0
   19   42        28   33        0.00721            9.23647        9.32150         0.22554E+02    0.22554E+02    0
   20   23        21   22       -0.07507          803.58585      802.70469         0.17993E+01    0.17993E+01    0
   20   26        22   24       -0.16677          374.44974      373.38179         0.86899E+01    0.68016E+01    1
   20   37        27   30        0.90002          -28.63781        4.48716         0.66504E+01    0.66504E+01    0
   20   40        28   32        0.41730            9.91357       16.28835         0.16496E+02    0.16496E+02    0
   21   24        22   23       -0.19332         1266.59895     1264.62422         0.22006E+01    0.22006E+01    0
   21   27        23   25       -0.15233          314.40287      313.43774         0.68497E+01    0.68497E+01    0
   21   38        28   31        0.94522           -4.07234        6.73476         0.21535E+02    0.21192E+02    1
   22   25        23   24       -0.03785          601.47328      601.16321         0.26966E+01    0.25267E+01    1
   22   28        24   26        0.00880          355.26944      355.28896         0.18927E+02    0.18927E+02    0
   22   36        28   30        0.20550          -13.30906       -4.65232         0.59231E+01    0.59231E+01    0
   22   51        29   40       -1.34021           14.89610        4.53386         0.90468E+02    0.20121E+02    1
   23   26        24   25        0.03627         1630.93153     1631.36506         0.18659E+01    0.18659E+01    0
   23   34        28   29       -0.62810           42.61474       32.55152         0.19119E+02    0.19119E+02    0
   23   49        29   39       -0.02809           19.25808       19.01840         0.15750E+02    0.15750E+02    0
   23   52        30   41       -1.38056           32.97613       20.26258         0.43897E+02    0.16708E+02    1
   24   27        25   26        0.05581          475.29210      475.77726         0.23357E+01    0.23357E+01    0
   24   47        29   38        1.56915           10.67825       30.34899         0.41614E+02    0.89723E+01    1
   24   50        30   40       -0.62735           19.11217       16.63262         0.33485E+02    0.33485E+02    0
   25   28        26   27       -0.21753         1279.44676     1277.78824         0.28137E+01    0.28137E+01    0
   25   45        29   37        0.54758           36.44189       40.36660         0.12707E+02    0.12707E+02    0
   25   48        30   39        0.07037           36.09892       36.65086         0.14167E+02    0.14167E+02    0
   25   51        31   41       -1.10576           35.58950       31.91320         0.47261E+02    0.39756E+02    1
   26   43        29   36       -1.19780           42.87424       40.30611         0.45389E+02    0.31857E+02    1
   26   46        30   38       -0.67233           28.10677       27.30428         0.98241E+02    0.74407E+02    1
   26   49        31   40        1.40163            6.30899        8.61267         0.16532E+03    0.67166E+02    1
   27   44        30   37       -0.03996          131.67334      131.54803         0.21371E+02    0.21371E+02    0
   27   47        31   39        0.70178           82.65640       91.28067         0.72102E+01    0.72102E+01    0
   28   39        29   34        0.11467          131.49513      131.86759         0.84044E+01    0.68742E+01    1
   28   42        30   36        0.37654          114.85420      115.25627         0.41739E+02    0.41739E+02    0
   28   45        31   38       -0.75450           96.05427       93.31367         0.18430E+02    0.18430E+02    0
   28   48        32   40       -1.21434           35.07331       32.46152         0.16271E+03    0.40783E+02    1
   28   51        33   42        1.09234           22.63317       26.62186         0.36779E+02    0.29713E+02    1
   29   32        30   31       -0.77955          311.53550      307.99235         0.47276E+01    0.43044E+01    1
   29   35        31   33       -0.13868          342.79119      341.04434         0.31754E+01    0.31754E+01    0
   29   41        33   37        0.33878           41.04015       47.40627         0.43587E+01    0.43587E+01    0
   29   44        34   39       -0.42958            6.99596        1.39545         0.75864E+01    0.75864E+01    0
   29   50        36   43       -1.05180           49.28477       47.73915         0.17654E+03    0.92821E+02    1
   30   33        31   32        0.01731          545.03982      545.12344         0.43328E+01    0.43328E+01    0
   30   36        32   34       -0.04521          227.50072      226.94809         0.33354E+01    0.33354E+01    0
   30   39        33   36       -0.83864           75.05828       74.20250         0.62273E+02    0.60522E+02    1
   30   42        34   38        0.73367          -11.29776       -8.33268         0.58845E+02    0.20073E+02    1
   30   48        36   42       -0.94123           30.65488       30.31438         0.10000E+04    0.32331E+03    1
   30   51        37   44        0.55415           25.34810       28.03993         0.28248E+02    0.28248E+02    0
   31   34        32   33       -0.52511          355.80631      353.11670         0.37914E+01    0.37914E+01    0
   31   37        33   35       -0.33775          233.13362      224.48451         0.15870E+01    0.15870E+01    0
   31   40        34   37        1.17186           39.21728       47.59139         0.12757E+02    0.84330E+01    1
   31   43        35   39        0.98281          -39.30752      -24.84900         0.57256E+01    0.54189E+01    1
   31   46        36   41       -1.07958            6.82194       -0.81519         0.16814E+02    0.13779E+02    1
   31   49        37   43        1.02574           24.06007       32.06425         0.16861E+02    0.14923E+02    1
   31   52        38   45       -1.16731           43.55671       30.57302         0.15515E+02    0.12363E+02    1
   32   35        33   34        0.33797          603.01214      607.20988         0.16564E+01    0.16564E+01    0
   32   38        34   36       -0.05588          223.48974      223.12535         0.61214E+01    0.61214E+01    0
   32   41        35   38        0.41145           67.01564       72.79209         0.42868E+01    0.42868E+01    0
   32   44        36   40       -1.47513           36.20870       11.12628         0.13568E+02    0.46426E+01    1
   32   47        37   42        0.59434           52.57107       57.12097         0.12671E+02    0.12671E+02    0
   32   50        38   44       -0.94240           36.13827       35.81024         0.34257E+03    0.33813E+03    1
   33   39        35   37        0.43630          213.54618      215.57089         0.86835E+01    0.86835E+01    0
   33   42        36   39       -1.41479          157.44911      120.66468         0.59291E+01    0.23021E+01    1
   33   45        37   41        0.38229           66.67424       71.69492         0.59236E+01    0.59236E+01    0
   33   48        38   43        0.06881           72.25995       72.47456         0.31106E+02    0.31106E+02    0
   33   51        39   45        0.44677           39.39425       43.85725         0.11872E+02    0.11872E+02    0
   34   37        35   36       -1.43383          617.79244      576.28789         0.18406E+01    0.68708E+00    1
   34   40        36   38       -0.83906          240.42971      238.70640         0.21996E+02    0.19681E+02    1
   34   43        37   40        1.37433           34.08127       55.75397         0.10928E+02    0.38342E+01    1
   34   46        38   42       -0.78787           62.86025       61.77287         0.11064E+03    0.56503E+02    1
   34   49        39   44        1.16422           25.00360       30.33610         0.37573E+02    0.21697E+02    1
   34   52        40   46        1.21044           36.10470       45.34109         0.47085E+02    0.15623E+02    1
   35   38        36   37        0.29810          571.38847      574.58646         0.19057E+01    0.19057E+01    0
   35   47        39   43       -1.24314          114.79598       89.15578         0.56961E+01    0.38197E+01    1
   36   39        37   38        0.25493          354.95227      355.64899         0.74628E+01    0.74628E+01    0
   36   42        38   40        1.41853          132.14664      148.26430         0.21563E+02    0.35889E+01    1
   36   45        39   42       -0.57029          118.32636      115.82216         0.13445E+02    0.13445E+02    0
   36   48        40   44       -0.94513           93.47818       93.28056         0.50969E+03    0.37937E+03    1
   36   51        41   46        0.92232           48.29025       49.86789         0.66360E+02    0.58418E+02    1
   37   40        38   39       -0.33242          361.20951      359.64857         0.42885E+01    0.42179E+01    1
   37   43        39   41       -0.12125          154.64565      154.46254         0.27320E+02    0.27320E+02    0
   37   46        40   43        0.19541          129.97777      130.35993         0.30957E+02    0.30135E+02    1
   37   49        41   45       -1.12325           66.62487       63.17538         0.32427E+02    0.26240E+02    1
   37   52        42   47       -0.63955           15.09537       14.72597         0.17449E+03    0.17449E+03    0
   38   41        39   40       -0.02415          120.10175      119.95789         0.35140E+01    0.35140E+01    0
   38   44        40   42        0.06316          249.42073      249.54656         0.20738E+02    0.19622E+02    1
   38   47        41   44       -0.96845           88.70186       86.17093         0.23854E+02    0.22912E+02    1
   38   50        42   46       -1.10892           55.91219       52.19957         0.35482E+02    0.24215E+02    1
   39   42        40   41        0.11582          310.35492      310.81751         0.12722E+02    0.50822E+01    1
   39   45        41   43        1.32107          173.98524      185.34924         0.92041E+01    0.45383E+01    1
   39   48        42   45       -0.69029           98.62473       95.71914         0.17940E+02    0.14424E+02    1
   39   51        43   47       -1.24468           22.78753       12.49920         0.51449E+02    0.97159E+01    1
   40   43        41   42       -0.45657          226.24658      225.41811         0.14482E+02    0.10966E+02    1
   40   46        42   44       -0.61407           51.19455       49.78890         0.41805E+02    0.17740E+02    1
   40   49        43   46        1.38509            5.08947       12.79526         0.58141E+02    0.11040E+02    1
   40   52        44   48       -1.09413           53.63648       51.15225         0.10908E+03    0.34657E+02    1
   41   44        42   43       -1.96078          557.39711      381.95726         0.88355E+01    0.22498E+00    1
   41   47        43   45        0.37767          131.99346      133.82882         0.83807E+01    0.83807E+01    0
   41   50        44   47       -0.63217           95.26574       93.73552         0.24312E+02    0.24312E+02    0
   42   45        43   44       -1.02828          179.88404      171.34075         0.79202E+01    0.24081E+01    1
   42   48        44   46        0.31724          222.73747      223.39387         0.18885E+02    0.18885E+02    0
   42   51        45   48       -1.38195          128.52650      114.58618         0.23053E+02    0.57479E+01    1
   43   46        44   45       -0.61303          236.67875      233.47073         0.70634E+01    0.36937E+01    1
   43   49        45   47       -0.57397          103.40081      102.27700         0.19942E+02    0.19942E+02    0
   43   52        46   49        0.11228           89.31453       89.45966         0.46960E+02    0.44798E+02    1
