    P+   P-        C+   C-  Normalised_Error  Observed_Rho_a  Calculated_Rho_a  Original_Weight  Final_Weight    C
   11   52        26   37       -0.35952         1730.39353     1728.02215         0.26216E+03    0.26216E+03    0
   12   15        13   14       -0.82332         5592.30464     5591.94968         0.19929E+05    0.12971E+05    1
   12   18        14   16       -0.30622         4416.41702     4416.22275         0.69617E+04    0.69617E+04    0
   12   21        15   18        0.35435         4541.28280     4541.77742         0.41507E+04    0.32535E+04    1
   12   24        16   20        1.06322         3836.02706     3839.16385         0.25424E+04    0.13008E+04    1
   12   27        17   22        0.39262         2999.77410     3000.94573         0.17349E+04    0.10054E+04    1
   12   29        19   26       -0.60429         2157.26940     2156.56779         0.18577E+04    0.18577E+04    0
   12   32        20   28        1.29449         2008.70570     2011.12894         0.13554E+04    0.10737E+04    1
   12   41        23   30       -1.00071         1744.81051     1740.07163         0.36795E+03    0.36795E+03    0
   12   44        24   32       -1.24047         1748.11245     1741.92312         0.34974E+03    0.34974E+03    0
   12   47        25   34        1.36662         1604.58117     1612.87857         0.26496E+03    0.26496E+03    0
   12   50        26   36       -0.09704         1618.83659     1618.17119         0.23604E+03    0.23604E+03    0
   13   16        14   15       -0.49374         3981.59228     3981.30305         0.12871E+05    0.67967E+04    1
   13   19        15   17       -0.26346         4646.10390     4645.93966         0.74527E+04    0.74527E+04    0
   13   22        16   19       -1.14337         3970.82315     3969.46181         0.37523E+04    0.33345E+04    1
   13   25        17   21       -1.29104         3015.61824     3011.73919         0.21954E+04    0.10030E+04    1
   13   28        18   23        1.08826         2693.53255     2695.43509         0.15413E+04    0.15413E+04    0
   13   30        20   27       -1.55109         2212.97083     2210.35375         0.19058E+04    0.13108E+04    1
   13   39        23   29        1.33136         1660.66848     1666.67759         0.36860E+03    0.36860E+03    0
   13   42        24   31       -0.41516         1637.64262     1635.44731         0.30949E+03    0.30949E+03    0
   13   45        25   33        0.35010         1524.19274     1526.09904         0.28010E+03    0.28010E+03    0
   13   48        26   35       -0.60151         1524.85691     1521.43818         0.26799E+03    0.26799E+03    0
   13   51        27   37        1.26381         1650.59065     1657.94992         0.28409E+03    0.28409E+03    0
   14   17        15   16       -0.43419         4669.78685     4669.50103         0.17057E+05    0.70937E+04    1
   14   20        16   18        0.07847         4107.64667     4107.70032         0.60086E+04    0.60086E+04    0
   14   23        17   20        0.27704         3241.98157     3242.25808         0.32484E+04    0.32484E+04    0
   14   26        18   22       -0.33257         2670.43948     2669.97686         0.19196E+04    0.19196E+04    0
   14   31        21   28        1.11592         2269.27242     2270.43897         0.21713E+04    0.21713E+04    0
   14   40        24   30        0.57640         1550.08609     1552.82743         0.32621E+03    0.32621E+03    0
   14   43        25   32       -1.19312         1458.89642     1453.19049         0.30446E+03    0.30446E+03    0
   14   46        26   34        0.00050         1466.16916     1466.17179         0.27936E+03    0.27936E+03    0
   14   49        27   36       -0.81065         1490.56646     1485.59203         0.24250E+03    0.24250E+03    0
   14   52        28   38       -0.37325         1655.01321     1652.68033         0.26461E+03    0.26461E+03    0
   15   18        16   17       -0.82544         5992.07680     5991.61768         0.23431E+05    0.10773E+05    1
   15   21        17   19       -0.06781         3933.38049     3933.33170         0.54666E+04    0.54666E+04    0
   15   24        18   21        1.21776         3156.52003     3160.70184         0.28155E+04    0.91980E+03    1
   15   27        19   23        1.04170         2367.99282     2369.47301         0.17149E+04    0.16670E+04    1
   15   29        21   27       -1.97259         2426.51154     2423.94259         0.32108E+04    0.18622E+04    1
   15   38        24   29        1.25000         1498.28751     1504.14776         0.34105E+03    0.32021E+03    1
   15   41        25   31        0.08418         1335.32846     1335.70480         0.29872E+03    0.29872E+03    0
   15   44        26   33       -0.51694         1400.63420     1398.19060         0.29604E+03    0.29604E+03    0
   15   47        27   35       -1.19915         1383.49339     1376.62038         0.24078E+03    0.24078E+03    0
   15   50        28   37        1.81452         1538.29946     1556.34498         0.23776E+03    0.15558E+03    1
   16   19        17   18       -0.15724         4748.48483     4748.44438         0.18459E+05    0.18459E+05    0
   16   22        18   20       -0.69433         4134.10698     4133.34877         0.61831E+04    0.37855E+04    1
   16   25        19   22       -0.15213         2727.13819     2726.90165         0.27250E+04    0.17539E+04    1
   16   28        20   24       -0.50999         2171.99700     2171.22041         0.15556E+04    0.14261E+04    1
   16   30        22   28       -1.99053         2588.02128     2585.44564         0.34451E+04    0.19991E+04    1
   16   39        25   30        0.01922         1280.28724     1280.36983         0.29803E+03    0.29803E+03    0
   16   42        26   32       -1.71311         1340.57358     1328.35996         0.26592E+03    0.18717E+03    1
   16   45        27   34       -0.82544         1340.66024     1336.37970         0.25811E+03    0.25811E+03    0
   16   48        28   36       -0.02495         1365.67488     1365.54116         0.25482E+03    0.25482E+03    0
   17   20        18   19       -0.76690         6604.75418     6604.26034         0.24932E+05    0.10256E+05    1
   17   23        19   21       -0.62263         3835.24984     3834.85930         0.61142E+04    0.61142E+04    0
   17   26        20   23        0.22158         3092.90170     3093.19581         0.29993E+04    0.23303E+04    1
   17   37        25   29        1.51024         1345.97787     1353.34835         0.32427E+03    0.27655E+03    1
   17   40        26   31       -0.40657         1257.67270     1255.84511         0.27958E+03    0.27958E+03    0
   17   43        27   33       -1.04145         1309.96579     1305.24741         0.28862E+03    0.28862E+03    0
   17   46        28   35       -1.45753         1290.28147     1282.20014         0.26113E+03    0.23198E+03    1
   18   21        19   20       -1.50944         6333.53458     6332.35565         0.24112E+05    0.81084E+04    1
   18   24        20   22        0.00777         4393.54714     4393.55774         0.63308E+04    0.32179E+04    1
   18   27        21   24       -0.92523         2876.02478     2875.04349         0.28107E+04    0.27113E+04    1
   18   29        23   28       -2.71444         3149.15686     3139.47724         0.93806E+04    0.88176E+03    1
   18   38        26   30       -0.39057         1248.22629     1246.57192         0.29449E+03    0.29449E+03    0
   18   41        27   32       -0.33147         1246.24346     1244.82769         0.29161E+03    0.29161E+03    0
   18   44        28   34        0.03559         1274.45729     1274.61716         0.28378E+03    0.28378E+03    0
   19   22        20   21       -0.84634         5830.07059     5829.59669         0.21141E+05    0.10412E+05    1
   19   25        21   23       -0.84596         4795.08453     4793.76011         0.76152E+04    0.30624E+04    1
   19   28        22   25        1.11131         2827.41346     2829.91184         0.26650E+04    0.12582E+04    1
   19   36        26   29       -0.06985         1411.94593     1411.63892         0.32122E+03    0.32122E+03    0
